numero_proyecto,fecha_ingreso,iniciativa,proyecto_suma,numero_ley,fecha_publicacion
16366-13,2023-10-16,Mensaje,"Modifica la ley N° 20.267, que crea el Sistema Nacional de Certificación de Competencias Laborales y perfecciona el Estatuto de Capacitación y Empleo, y otros cuerpos legales",21666,2024-04-20
16497-04,2023-12-21,Moción,"Modifica la ley N° 20.903, que crea el Sistema de Desarrollo Profesional Docente y modifica otras normas, con el objeto de homologar los requisitos de admisión universitaria para las carreras y programas de pedagogía",21662,2024-03-25
16034-06,2023-06-19,Mensaje,"Modifica la ley N° 20.430, para establecer una etapa inicial del procedimiento de determinación de la condición de refugiado, y la ley N° 21.325, en relación con la medida de reconducción o devolución inmediata de personas extranjeras que ingresen de forma irregular al territorio nacional",21655,2024-02-20
16051-08,2023-06-20,Moción,"Modifica la Ley General de Servicios Eléctricos, en materia de cobro de tarifa eléctrica para servicios sanitarios rurales",21657,2024-02-19
16089-11,2023-07-12,Moción,"Que modifica la ley N° 21.258, para consagrar el derecho al olvido oncológico",21656,2024-02-13
16399-05,2023-11-07,Mensaje,"Crea la Secretaría de Gobierno Digital en la Subsecretaría de Hacienda, y adecúa los cuerpos legales que indica",21658,2024-02-09
16466-05,2023-12-12,Mensaje,"Modifica el Código Tributario, con el objeto de establecer la obligatoriedad de iniciación de actividades para personas que operan en el comercio exterior",21648,2024-02-05
16301-07,2023-09-25,Mensaje,"Modifica la Carta Fundamental, para crear la Fiscalía Supraterritorial, especializada en crimen organizado y delitos de alta complejidad, al interior del Ministerio Público",21644,2024-02-02
16015-07,2023-06-13,Moción,"Modifica la Carta Fundamental, con el objeto de incorporar una Fiscalía Supraterritorial y tribunales especiales, para la investigación, conocimiento y juzgamiento de causas terroristas y otras que indica",21644,2024-02-02
16390-14,2023-10-25,Moción,"Modifica la ley N° 21.442, con el objeto de precisar que el reglamento tipo para condominios no requiere ser sometido a consulta pública ni ser sancionado por el reglamento de ese cuerpo legal",21650,2024-01-30
15709-07,2023-01-30,Moción,"Modifica la Carta Fundamental, en materia de prórrogas sucesivas del estado de excepción constitucional de emergencia, en las condiciones que indica",21654,2024-01-19
16505-04,2023-12-29,Mensaje,Modifica la ley Nº 21.040 en materia de suplencia de los directores ejecutivos y adelanta la entrada en funcionamiento del Servicio Local de Educación Pública de Chiloé,21653,2024-01-19
16498-13,2023-12-27,Mensaje,"Prorroga para el año 2024, la facultad establecida en el artículo 66 de la ley Nº 21.526, y regula otra materia que indica",21652,2024-01-16
15891-15,2023-05-08,Mensaje,"Modifica el procedimiento de fijación tarifaria de concesionarias de telefonía fija, y corrige y actualiza referencias en la ley N° 18.168 General de Telecomunicaciones",21637,2024-01-09
15972-13,2023-05-31,Moción,"Modifica el Código del Trabajo, para establecer la modalidad de teletrabajo respecto de quienes se encuentren en alguna de las circunstancias que indica",21645,2023-12-29
15702-13,2023-01-26,Moción,"Proyecto de ley, iniciado en Moción de la Honorable Senadora señora Campillai, que modifica el Código del Trabajo, en materia de trabajo a distancia para quienes que tengan a su cargo a menores de 12 años.",21645,2023-12-29
16092-13,2023-07-14,Mensaje,"Modifica el Título II del Libro II del Código del Trabajo ""De la protección a la maternidad, paternidad y vida familiar"" y regula un régimen de trabajo a distancia y teletrabajo en las condiciones que indica.",21645,2023-12-29
15809-13,2023-04-11,Moción,"Modifica el Código del Trabajo, con el objeto de incorporar la modalidad de teletrabajo para personas embarazadas o cuidadoras",21645,2023-12-29
16364-09,2023-10-16,Mensaje,"Modifica normas que indica para permitir el desarrollo de proyectos de infraestructura hídrica y de desalinización, con el fin de destinar el agua que se obtenga para el cumplimiento de la función de subsistencia y de riego",21639,2023-12-27
15788-07,2023-04-03,Moción,Establece el deber de efectuar registros audiovisuales de las actuaciones policiales autónomas en el procedimiento penal,21638,2023-12-26
16463-05,2023-12-11,Mensaje,"Otorga reajuste general de remuneraciones a las y los trabajadores del sector público, concede aguinaldos que señala, concede otros beneficios que indica y modifica diversos cuerpos legales",21647,2023-12-23
16330-05,2023-09-29,Mensaje,Ley de Presupuestos del Sector Público correspondiente al año 2024,21640,2023-12-18
16037-07,2023-06-19,Mensaje,"Establece reglas especiales tratándose de la alteración, ampliación, reparación o reconstrucción de establecimientos penitenciarios y modifica otros cuerpos legales",21636,2023-12-14
16188-06,2023-08-21,Moción,Rehabilita la nacionalidad chilena a doña María Alexandra Slaughter Jünemann,21629,2023-12-09
15765-12,2023-03-22,Mensaje,"Modifica la ley N°21.075, que regula la recolección, reutilización y disposición de aguas grises, para fomentar la reutilización de aguas grises en la agricultura",21623,2023-11-27
16003-24,2023-06-07,Mensaje,Establece requisitos para asimilar las entidades que prestan servicios culturales a las sociedades de profesionales,21622,2023-11-17
16338-07,2023-10-03,Moción,"Modifica la Carta Fundamental, para hacer aplicable al plebiscito constitucional la disposición que indica",21626,2023-11-07
16365-05,2023-10-16,Mensaje,Establece un beneficio tributario transitorio y extraordinario a la compra de viviendas nuevas adquiridas con créditos con garantía hipotecaria,21631,2023-10-31
15990-13,2023-06-05,Mensaje,"Flexibiliza los requisitos de acceso, incrementa el monto de las prestaciones al seguro de desempleo de la ley Nº 19.728 y establece otras modificaciones que indica",21628,2023-10-31
15934-25,2023-05-17,Moción,Sobre nomenclatura aplicable a los funcionarios de la Policía de Investigaciones de Chile que señala,21617,2023-10-25
15956-25,2023-05-29,Mensaje,Modifica el Código Penal y el Código Procesal Penal para sancionar como falta el porte injustificado de combustibles aptos para la comisión de atentados contra las personas o para ocasionar daño en las cosas durante reuniones en lugares públicos,21620,2023-10-25
15715-04,2023-01-31,Mensaje,Consolida el sistema de reconocimiento y promoción del desarrollo profesional docente como único sistema general de evaluación y fortalece los procesos de inducción y acompañamiento,21625,2023-10-24
15957-24,2023-05-22,Moción,Permite a la comunidad insular de Rapa Nui ser titular o hacer uso de una concesión de radiodifusión televisiva de libre recepción,21619,2023-10-19
16218-05,2023-08-28,Mensaje,Crea convenios de pago para alivianar la deuda asociada a los préstamos solidarios para transportistas contemplados en las leyes N° 21.256 y N° 21.323,21616,2023-10-18
16005-37,2023-06-08,Mensaje,"Homologa la ley N° 19.712, del Deporte, a los estándares y disposiciones del nuevo Código Mundial Antidopaje",21618,2023-10-13
15708-13,2023-01-27,Mensaje,"Introduce modificaciones en la ley N°21.063, que crea un seguro para el acompañamiento de niños y niñas que padezcan las enfermedades que indica y modifica el Código del Trabajo para estos efectos",21614,2023-09-28
15852-12,2023-04-19,Moción,"Declara el segundo sábado de noviembre de cada año como el ""Día Nacional de las Áreas Protegidas""",21596,2023-09-27
16233-15,2023-08-29,Moción,"Autoriza la circulación de vehículos que participarán en el Rally WRC 2023, en la Región del Biobío",21611,2023-09-22
16185-06,2023-08-09,Moción,Concede la nacionalidad por gracia al destacado deportista y entrenador Julián Stabon,21613,2023-09-20
16088-15,2023-07-12,Mensaje,"Autoriza única y excepcionalmente el tránsito de los vehículos oficiales de los XIX Juegos Panamericanos y VII Parapanamericanos Santiago 2023, dentro del país",21604,2023-09-15
15756-11,2023-03-21,Moción,Establece el Día Nacional de la Prevención del Accidente Cerebrovascular,21593,2023-09-12
15796-07,2023-04-06,Moción,"Modifica el Código Penal, para tipificar el delito de tenencia de elementos tecnológicos que permitan a las personas privadas de libertad comunicarse con el exterior",21594,2023-09-08
16234-06,2023-08-30,Mensaje,"Declara feriado el día 8 de septiembre de 2023 para la región de Antofagasta, con motivo de la fiesta religiosa de la Virgen de Guadalupe de Ayquina, y el día 20 de septiembre de 2023 para la región de Coquimbo, con motivo de la Fiesta de la Pampilla",21609,2023-09-07
16038-25,2023-06-19,Mensaje,"Modifica diversos cuerpos legales, en materia de requisitos para ser llamado al servicio en Carabineros de Chile .",21602,2023-09-07
16133-05,2023-07-31,Mensaje,Sustituye el reajuste de las remuneraciones del sector público fijado en los incisos quinto y noveno del artículo 1 de la ley N° 21.526 para el personal que indica y modifica otros cuerpos legales,21599,2023-08-24
16142-06,2023-08-02,Mensaje,Declara feriado el día 10 de agosto de 2023 para las regiones de Tarapacá y Atacama,21598,2023-08-09
