numero_proyecto,fecha_ingreso,iniciativa,proyecto_suma,numero_ley,fecha_publicacion
16073-24,2023-07-04,Moción,Declara el 1 de febrero de cada año como el Día Nacional de la Cueca Porteña,21684,2024-08-16
14615-05,2021-09-28,Mensaje,Promueve la responsabilidad y transparencia en la gestión financiera del Estado,21683,2024-08-14
16849-12,2024-05-16,Moción,"Modifica la ley N° 21.368, que regula la entrega de plásticos de un solo uso y las botellas plásticas, y modifica los cuerpos legales que indica, en materia de plazos de entrada en vigencia de sus obligaciones",21691,2024-08-12
16993-05,2024-07-23,Mensaje,Facilita la ejecución de proyectos de inversión de interés social en áreas rurales y proyectos de agua potable y saneamiento rural por parte de los gobiernos regionales,21688,2024-08-09
16947-13,2024-07-01,Mensaje,"Modifica la ley N° 21.643, que modifica el Código del Trabajo y otros cuerpos legales, en materia de prevención, investigación y sanción del acoso laboral, sexual o de violencia en el trabajo",21687,2024-07-31
16933-05,2024-06-18,Mensaje,"Reajusta los valores del Subsidio Único Familiar y la Asignación Familiar, otorga un aporte pagado a través del Bolsillo Familiar Electrónico por los meses de invierno de 2024, e inyecta recursos al Fondo de Estabilización de Precios del Petróleo",21685,2024-07-13
16606-01,2024-01-23,Moción,"Modifica la ley N° 21.363 para eximir de la aplicación del artículo 40 bis de la ley N° 19.925, a las bebidas alcohólicas que se señalan",21682,2024-07-05
11632-15,2018-03-09,Mensaje,Para reconocer el acceso a internet como un servicio público de telecomunicaciones.,21678,2024-07-03
14743-03,2021-12-13,Mensaje,Crea un Registro de Deuda Consolidada,21680,2024-07-03
16328-24,2023-09-27,Moción,Declara el 2 de julio de cada año como el Día Nacional del Astroturismo,21679,2024-07-02
16704-05,2024-04-03,Mensaje,Crea el Fondo de Emergencia Transitorio por Incendios y establece otras medidas para la reconstrucción,21681,2024-07-01
15139-18,2022-06-28,Moción,"Modifica la ley N°19.947, para extender el plazo de inscripción del matrimonio religioso ante el Registro Civil",21676,2024-06-19
16262-37,2023-09-05,Moción,"Modifica la ley N° 17.288, sobre Monumentos Nacionales, con el objeto de fortalecer la publicidad de las sesiones del Consejo de Monumentos Nacionales",21677,2024-06-17
16360-24,2023-10-12,Moción,Declara el 7 de abril de cada año como el Día de Gabriela Mistral,21672,2024-06-17
11077-07,2017-01-05,Mensaje,"Estatuye medidas para prevenir, sancionar y erradicar la violencia en contra de las mujeres, en razón de su género",21675,2024-06-14
15995-02,2023-06-05,Moción,"Modifica la ley N°17.798, sobre control de armas, para autorizar el porte de armas por los aspirantes a oficiales de las policías, desde el primer año de formación y durante la realización de la práctica policial",21670,2024-06-13
16653-33,2024-03-12,Mensaje,Modifica el Código de Aguas para agilizar la entrada en vigencia de los decretos de declaración de zona de escasez hídrica e incorporar a las obras estatales de desarrollo del recurso,21671,2024-05-30
16408-05,2023-11-10,Mensaje,"Modifica diversos cuerpos legales, con el objeto de adoptar medidas para combatir el sobreendeudamiento",21673,2024-05-30
15616-11,2023-01-03,Moción,"Modifica la ley Nº 20.584, que regula los derechos y deberes que tienen las personas en relación con acciones vinculadas a su atención en salud, con el objeto de establecer la interoperabilidad de las fichas clínicas",21668,2024-05-28
15896-11,2023-05-09,Mensaje,"Modifica el decreto con fuerza de ley N° 1, de 2005, del Ministerio de Salud, que fija el texto refundido, coordinado y sistematizado del decreto ley N°2.763, de 1979, y de las leyes N° 18.933 y N° 18.469, en las materias que indica, crea un nuevo modelo de atención en el FONASA, otorga facultades y atribuciones a la Superintendencia de Salud y modifica normas relativas a las instituciones de salud previsional",21674,2024-05-24
16619-02,2024-01-29,Mensaje,"Modifica la planta de Oficiales de la Armada, en el Escalafón del Litoral",21669,2024-05-18
12599-01,2019-04-25,Moción,"Modifica el Código Sanitario, para definir el concepto de carne y prohibir dar esa denominación a productos que no sean de origen animal",21664,2024-05-17
16347-11,2023-10-10,Moción,Declara el 14 de mayo de cada año como el Día Nacional de la Concientización sobre el Diagnóstico de Apraxia del Habla Infantil,21665,2024-05-13
16576-08,2024-01-16,Mensaje,"Modifica diversos cuerpos legales, en materia de estabilización tarifaria",21667,2024-04-30
16366-13,2023-10-16,Mensaje,"Modifica la ley N° 20.267, que crea el Sistema Nacional de Certificación de Competencias Laborales y perfecciona el Estatuto de Capacitación y Empleo, y otros cuerpos legales",21666,2024-04-20
12017-12,2018-08-14,Moción,Sobre protección ambiental de las turberas.,21660,2024-04-10
14847-06,2022-03-15,Mensaje,Establece una Ley Marco sobre Ciberseguridad e Infraestructura Crítica de la Información.,21663,2024-04-08
16497-04,2023-12-21,Moción,"Modifica la ley N° 20.903, que crea el Sistema de Desarrollo Profesional Docente y modifica otras normas, con el objeto de homologar los requisitos de admisión universitaria para las carreras y programas de pedagogía",21662,2024-03-25
6639-25,2009-08-05,Mensaje,Sobre seguridad privada,21659,2024-03-21
16034-06,2023-06-19,Mensaje,"Modifica la ley N° 20.430, para establecer una etapa inicial del procedimiento de determinación de la condición de refugiado, y la ley N° 21.325, en relación con la medida de reconducción o devolución inmediata de personas extranjeras que ingresen de forma irregular al territorio nacional",21655,2024-02-20
16051-08,2023-06-20,Moción,"Modifica la Ley General de Servicios Eléctricos, en materia de cobro de tarifa eléctrica para servicios sanitarios rurales",21657,2024-02-19
16089-11,2023-07-12,Moción,"Que modifica la ley N° 21.258, para consagrar el derecho al olvido oncológico",21656,2024-02-13
16399-05,2023-11-07,Mensaje,"Crea la Secretaría de Gobierno Digital en la Subsecretaría de Hacienda, y adecúa los cuerpos legales que indica",21658,2024-02-09
12535-21,2019-04-09,Mensaje,Proyecto de ley que modifica la Ley General de Pesca y Acuicultura en el ámbito de los recursos bentónicos.,21651,2024-02-07
16466-05,2023-12-12,Mensaje,"Modifica el Código Tributario, con el objeto de establecer la obligatoriedad de iniciación de actividades para personas que operan en el comercio exterior",21648,2024-02-05
16301-07,2023-09-25,Mensaje,"Modifica la Carta Fundamental, para crear la Fiscalía Supraterritorial, especializada en crimen organizado y delitos de alta complejidad, al interior del Ministerio Público",21644,2024-02-02
16015-07,2023-06-13,Moción,"Modifica la Carta Fundamental, con el objeto de incorporar una Fiscalía Supraterritorial y tribunales especiales, para la investigación, conocimiento y juzgamiento de causas terroristas y otras que indica",21644,2024-02-02
16390-14,2023-10-25,Moción,"Modifica la ley N° 21.442, con el objeto de precisar que el reglamento tipo para condominios no requiere ser sometido a consulta pública ni ser sancionado por el reglamento de ese cuerpo legal",21650,2024-01-30
13966-11,2020-12-17,Moción,"Modifica el Código Sanitario para prohibir la experimentación en animales con miras a la elaboración de productos cosméticos, así como la importación y comercialización de estos productos, si han sido testeados en animales",21646,2024-01-26
15709-07,2023-01-30,Moción,"Modifica la Carta Fundamental, en materia de prórrogas sucesivas del estado de excepción constitucional de emergencia, en las condiciones que indica",21654,2024-01-19
16505-04,2023-12-29,Mensaje,Modifica la ley Nº 21.040 en materia de suplencia de los directores ejecutivos y adelanta la entrada en funcionamiento del Servicio Local de Educación Pública de Chiloé,21653,2024-01-19
16498-13,2023-12-27,Mensaje,"Prorroga para el año 2024, la facultad establecida en el artículo 66 de la ley Nº 21.526, y regula otra materia que indica",21652,2024-01-16
15093-13,2022-06-13,Moción,"Modifica el Código del Trabajo y otros cuerpos legales, en materia de prevención, investigación y sanción del acoso laboral, sexual o de violencia en el trabajo",21643,2024-01-15
15891-15,2023-05-08,Mensaje,"Modifica el procedimiento de fijación tarifaria de concesionarias de telefonía fija, y corrige y actualiza referencias en la ley N° 18.168 General de Telecomunicaciones",21637,2024-01-09
12632-11,2019-05-15,Moción,"Proyecto de ley que asimila a producto de tabaco los sistemas electrónicos de administración de nicotina, mecanismos semejantes sin nicotina y productos de tabaco calentado.",21642,2024-01-04
12626-11,2019-05-14,Moción,Proyecto de ley que prohíbe la venta de cigarrillos electrónicos a menores de edad,21642,2024-01-04
12908-11,2019-09-03,Mensaje,Proyecto de ley que regula los dispositivos alternativos con o sin nicotina.,21642,2024-01-04
15510-08,2022-11-23,Mensaje,"Modifica disposiciones del Código de Minería; la ley N°21.420, que reduce o elimina exenciones tributarias que indica; la ley orgánica constitucional de Concesiones Mineras; la ley N°18.097 y el decreto ley N° 3.525, de 1980, que crea el Servicio Nacional de Geología y Minería",21649,2023-12-30
15322-05,2022-09-05,Mensaje,Fortalece la resiliencia del sistema financiero y sus infraestructuras,21641,2023-12-30
15972-13,2023-05-31,Moción,"Modifica el Código del Trabajo, para establecer la modalidad de teletrabajo respecto de quienes se encuentren en alguna de las circunstancias que indica",21645,2023-12-29
15702-13,2023-01-26,Moción,"Proyecto de ley, iniciado en Moción de la Honorable Senadora señora Campillai, que modifica el Código del Trabajo, en materia de trabajo a distancia para quienes que tengan a su cargo a menores de 12 años.",21645,2023-12-29
15106-13,2022-06-15,Moción,"Modifica el Código del Trabajo, para flexibilizar y compensar la jornada laboral de cuidadores de niños, niñas, adolescentes, discapacitados y personas mayores.",21645,2023-12-29
16092-13,2023-07-14,Mensaje,"Modifica el Título II del Libro II del Código del Trabajo ""De la protección a la maternidad, paternidad y vida familiar"" y regula un régimen de trabajo a distancia y teletrabajo en las condiciones que indica.",21645,2023-12-29
15809-13,2023-04-11,Moción,"Modifica el Código del Trabajo, con el objeto de incorporar la modalidad de teletrabajo para personas embarazadas o cuidadoras",21645,2023-12-29
16364-09,2023-10-16,Mensaje,"Modifica normas que indica para permitir el desarrollo de proyectos de infraestructura hídrica y de desalinización, con el fin de destinar el agua que se obtenga para el cumplimiento de la función de subsistencia y de riego",21639,2023-12-27
15788-07,2023-04-03,Moción,Establece el deber de efectuar registros audiovisuales de las actuaciones policiales autónomas en el procedimiento penal,21638,2023-12-26
16463-05,2023-12-11,Mensaje,"Otorga reajuste general de remuneraciones a las y los trabajadores del sector público, concede aguinaldos que señala, concede otros beneficios que indica y modifica diversos cuerpos legales",21647,2023-12-23
16330-05,2023-09-29,Mensaje,Ley de Presupuestos del Sector Público correspondiente al año 2024,21640,2023-12-18
15028-25,2022-05-31,Moción,Modifica el Código Procesal Penal en materia de prisión preventiva por uso de armas de fuego o pertenencia a una organización criminal,21635,2023-12-16
16037-07,2023-06-19,Mensaje,"Establece reglas especiales tratándose de la alteración, ampliación, reparación o reconstrucción de establecimientos penitenciarios y modifica otros cuerpos legales",21636,2023-12-14
14137-05,2021-03-29,Mensaje,"Moderniza la ley N°19.886 y otras leyes, para mejorar la calidad del gasto público, aumentar los estándares de probidad y transparencia e introducir principios de economía circular en las compras del Estado",21634,2023-12-11
16188-06,2023-08-21,Moción,Rehabilita la nacionalidad chilena a doña María Alexandra Slaughter Jünemann,21629,2023-12-09
15765-12,2023-03-22,Mensaje,"Modifica la ley N°21.075, que regula la recolección, reutilización y disposición de aguas grises, para fomentar la reutilización de aguas grises en la agricultura",21623,2023-11-27
14015-25,2021-01-19,Moción,"Regula los delitos de ocupaciones ilegales de inmuebles, fija nuevas penas y formas comisivas e incorpora mecanismos eficientes de restitución",21633,2023-11-24
13657-07,2020-07-21,Moción,"Regula los delitos de ocupaciones ilegales de inmuebles, fija nuevas penas y formas comisivas e incorpora mecanismos eficientes de restitución",21633,2023-11-24
15486-11,2022-11-08,Mensaje,Fortalece el vínculo entre el Hospital Clínico de la Universidad de Chile `Dr. José Joaquín Aguirre´ y el Sistema Nacional de Servicios de Salud,21621,2023-11-24
15252-07,2022-08-03,Moción,"Modifica diversos cuerpos legales, con el objeto de incluir en el delito de contrabando el ingreso o extracción de dinero del territorio nacional, en las condiciones que indica.",21632,2023-11-23
13222-29,2020-01-21,Moción,"Modifica la ley N° 19.712, del Deporte, para imponer, a quienes ejerzan funciones al interior de una organización deportiva, la pena accesoria de inhabilitación absoluta perpetua para el desempeño de tales cargos o funciones, en caso de incurrir en los delitos que indica",21630,2023-11-20
16003-24,2023-06-07,Mensaje,Establece requisitos para asimilar las entidades que prestan servicios culturales a las sociedades de profesionales,21622,2023-11-17
14100-07,2021-03-16,Moción,"Modifica el decreto ley N°321, de 1925, para exigir como requisito para postular a la libertad condicional, el haber gozado previamente de un beneficio intra penitenciario, que no haya sido revocado por causa imputable al postulante",21627,2023-11-09
14091-07,2021-03-15,Moción,"Modifica el decreto ley N°321, de 1925, para exigir a los condenados por homicidio simple, como requisito para postular a la libertad condicional, el cumplimiento efectivo de dos tercios de la pena",21627,2023-11-09
14121-07,2021-03-23,Moción,"Modifica el decreto ley N°321, de 1925, para aumentar el tiempo de cumplimiento de la pena y exigir la audiencia a las víctimas o sus familiares, al evaluar la concesión o denegación del beneficio de la libertad condicional a los condenados por los delitos que indica",21627,2023-11-09
14090-07,2021-03-15,Moción,Modifica diversos cuerpos legales para agravar la pena aplicable al delito de homicidio simple y establecer mayores exigencias para la obtención de la libertad condicional,21627,2023-11-09
14092-07,2021-03-15,Moción,"Modifica el decreto ley N°321, de 1925, para suprimir la participación de los ministros de Corte en la integración de las comisiones de libertad condicional",21627,2023-11-09
16338-07,2023-10-03,Moción,"Modifica la Carta Fundamental, para hacer aplicable al plebiscito constitucional la disposición que indica",21626,2023-11-07
16365-05,2023-10-16,Mensaje,Establece un beneficio tributario transitorio y extraordinario a la compra de viviendas nuevas adquiridas con créditos con garantía hipotecaria,21631,2023-10-31
15990-13,2023-06-05,Mensaje,"Flexibiliza los requisitos de acceso, incrementa el monto de las prestaciones al seguro de desempleo de la ley Nº 19.728 y establece otras modificaciones que indica",21628,2023-10-31
15934-25,2023-05-17,Moción,Sobre nomenclatura aplicable a los funcionarios de la Policía de Investigaciones de Chile que señala,21617,2023-10-25
15956-25,2023-05-29,Mensaje,Modifica el Código Penal y el Código Procesal Penal para sancionar como falta el porte injustificado de combustibles aptos para la comisión de atentados contra las personas o para ocasionar daño en las cosas durante reuniones en lugares públicos,21620,2023-10-25
15436-17,2022-10-19,Moción,"Concede la nacionalidad chilena, por especial gracia, a la ciudadana neozelandesa, señora Hazel Mary Farrugia.",21624,2023-10-25
15715-04,2023-01-31,Mensaje,Consolida el sistema de reconocimiento y promoción del desarrollo profesional docente como único sistema general de evaluación y fortalece los procesos de inducción y acompañamiento,21625,2023-10-24
12862-17,2019-08-06,Moción,Incorpora al pueblo Selk´nam entre las principales etnias indígenas reconocidas por el Estado,21606,2023-10-19
15957-24,2023-05-22,Moción,Permite a la comunidad insular de Rapa Nui ser titular o hacer uso de una concesión de radiodifusión televisiva de libre recepción,21619,2023-10-19
16218-05,2023-08-28,Mensaje,Crea convenios de pago para alivianar la deuda asociada a los préstamos solidarios para transportistas contemplados en las leyes N° 21.256 y N° 21.323,21616,2023-10-18
14597-29,2021-09-21,Moción,"Modifica la ley N°19.712, del Deporte, con el objeto de fijar un plazo para la presentación de denuncias por acoso sexual, discriminación y maltrato en la actividad deportiva",21605,2023-10-14
14879-04,2022-03-10,Mensaje,Posibilita la incorporación de la Escuela de Gendarmería de Chile dentro de aquellas instituciones de educación superior que el Estado reconoce oficialmente e incorpora reglas especiales para su proceso de acreditación,21607,2023-10-13
15210-06,2022-07-20,Moción,"Modifica el D.F.L N° 2, de 2017, que fija texto refundido, coordinado y sistematizado de la ley N° 18.700, orgánica constitucional sobre votaciones populares y escrutinios, para optimizar la transparencia procedimental en votaciones populares.",21615,2023-10-13
16005-37,2023-06-08,Mensaje,"Homologa la ley N° 19.712, del Deporte, a los estándares y disposiciones del nuevo Código Mundial Antidopaje",21618,2023-10-13
15708-13,2023-01-27,Mensaje,"Introduce modificaciones en la ley N°21.063, que crea un seguro para el acompañamiento de niños y niñas que padezcan las enfermedades que indica y modifica el Código del Trabajo para estos efectos",21614,2023-09-28
15852-12,2023-04-19,Moción,"Declara el segundo sábado de noviembre de cada año como el ""Día Nacional de las Áreas Protegidas""",21596,2023-09-27
14068-01,2021-03-02,Mensaje,"Introduce modificaciones y prorroga la vigencia de la ley Nº18.450, que aprueba normas para el fomento de la inversión privada en obras de riego y drenaje",21597,2023-09-26
14872-03,2022-03-24,Moción,Modifica el Código de Comercio para ampliar el plazo de inscripción y de publicación del respectivo extracto de constitución de sociedades por acciones,21608,2023-09-23
16233-15,2023-08-29,Moción,"Autoriza la circulación de vehículos que participarán en el Rally WRC 2023, en la Región del Biobío",21611,2023-09-22
15274-15,2022-08-10,Moción,"Modifica el Código Aeronáutico para hacer exigible, por las policías y el Ministerio Público, el listado de pasajeros en el transporte aéreo nacional",21610,2023-09-22
16185-06,2023-08-09,Moción,Concede la nacionalidad por gracia al destacado deportista y entrenador Julián Stabon,21613,2023-09-20
14819-07,2022-02-23,Mensaje,"Regula el funcionamiento, organización, funciones y atribuciones de la comisión para la fijación de remuneraciones a que alude el artículo 38 bis de la Constitución Política de la República",21603,2023-09-16
16088-15,2023-07-12,Mensaje,"Autoriza única y excepcionalmente el tránsito de los vehículos oficiales de los XIX Juegos Panamericanos y VII Parapanamericanos Santiago 2023, dentro del país",21604,2023-09-15
15756-11,2023-03-21,Moción,Establece el Día Nacional de la Prevención del Accidente Cerebrovascular,21593,2023-09-12
15410-15,2022-10-11,Moción,"Establece medida para impedir el robo de vehículos y sus accesorios, y su posterior comercialización.",21601,2023-09-11
15077-15,2022-06-13,Moción,"Modifica la Ley de Tránsito, para prevenir la venta de vehículos motorizados robados y sancionar las conductas que indica.",21601,2023-09-11
15796-07,2023-04-06,Moción,"Modifica el Código Penal, para tipificar el delito de tenencia de elementos tecnológicos que permitan a las personas privadas de libertad comunicarse con el exterior",21594,2023-09-08
16234-06,2023-08-30,Mensaje,"Declara feriado el día 8 de septiembre de 2023 para la región de Antofagasta, con motivo de la fiesta religiosa de la Virgen de Guadalupe de Ayquina, y el día 20 de septiembre de 2023 para la región de Coquimbo, con motivo de la Fiesta de la Pampilla",21609,2023-09-07
16038-25,2023-06-19,Mensaje,"Modifica diversos cuerpos legales, en materia de requisitos para ser llamado al servicio en Carabineros de Chile .",21602,2023-09-07
9404-12,2014-06-18,Mensaje,Crea el Servicio de Biodiversidad y Áreas Protegidas y el Sistema Nacional de Áreas Protegidas.,21600,2023-09-06
16133-05,2023-07-31,Mensaje,Sustituye el reajuste de las remuneraciones del sector público fijado en los incisos quinto y noveno del artículo 1 de la ley N° 21.526 para el personal que indica y modifica otros cuerpos legales,21599,2023-08-24
11742-29,2018-05-15,Moción,Establece el día 9 de mayo de cada año como el Día Nacional del Deportista Amateur,21585,2023-08-23
13115-06,2019-12-09,Moción,Establece un nuevo estatuto de protección a favor del denunciante de actos contra la probidad administrativa,21592,2023-08-21
13565-07,2020-06-04,Mensaje,Establece un nuevo estatuto de protección en favor del denunciante de actos contra la probidad administrativa,21592,2023-08-21
15409-06,2022-10-11,Mensaje,"Modifica la ley N° 21.325, Ley de Migración y Extranjería, con el objeto de agregar formas alternativas de notificación del inicio de los procedimientos administrativos de expulsión.",21589,2023-08-18
13204-07,2020-01-14,Moción,"Modifica diversos cuerpos legales para ampliar la responsabilidad penal de las personas jurídicas, y regular el ejercicio de la acción penal, respecto de los delitos contra el orden socioeconómico que indica",21595,2023-08-17
13205-07,2020-01-15,Moción,"Sistematiza los delitos económicos y atentados contra el medio ambiente, modifica diversos cuerpos legales que tipifican delitos contra el orden socioeconómico, y adecua las penas aplicables a todos ellos",21595,2023-08-17
12093-08,2018-09-12,Moción,Ley sobre Royalty a la Minería,21591,2023-08-10
16142-06,2023-08-02,Mensaje,Declara feriado el día 10 de agosto de 2023 para las regiones de Tarapacá y Atacama,21598,2023-08-09
15879-06,2023-05-05,Mensaje,Modifica la ley N°21.325 para ampliar el plazo de privación de libertad para la materialización de las expulsiones administrativas,21590,2023-08-07
12467-15,2019-03-13,Moción,"Proyecto de ley iniciado en moción de los Honorables Senadores señores Chahuán y Letelier, que sanciona los daños en los medios de transporte público de pasajeros y en la infraestructura asociada a dicha actividad.",21587,2023-08-05
16024-21,2023-06-14,Mensaje,Suspende excepcionalmente la declaración de caducidades del registro pesquero artesanal con el fin de mitigar sus consecuencias económicas y sociales en el sector,21588,2023-07-21
12643-06,2019-05-22,Moción,Proyecto de ley que modifica la Ley de Alcoholes respecto de las sanciones administrativas.,21580,2023-07-21
15901-05,2023-05-10,Mensaje,Exime del impuesto al valor agregado a los servicios sanitarios rurales a que se refiere la ley N° 20.998,21581,2023-07-17
15784-33,2023-03-31,Moción,Modifica la ley N°21.435 para facilitar la regularización y el perfeccionamiento de los derechos de aprovechamiento de aguas,21586,2023-07-13
15667-33,2023-01-13,Moción,"Modifica la ley N°21.435, para ampliar el plazo establecido en el artículo segundo transitorio para la inscripción de los derechos de aprovechamiento de aguas",21586,2023-07-13
15588-33,2022-12-13,Moción,"Modifica la ley N°21.435, para ampliar el plazo de inscripción de derechos de aprovechamiento de aguas, y el Código de Aguas, para introducir un procedimiento administrativo que perfecciona los títulos de tales derechos",21586,2023-07-13
15597-33,2022-12-15,Moción,Prorroga el plazo establecido en la ley N°21.435 para la inscripción y regularización de derechos de aprovechamiento de aguas,21586,2023-07-13
15858-04,2023-04-19,Moción,"Interpreta el artículo cuadragésimo segundo transitorio de la ley N° 21.040, que crea el Sistema de Educación Pública, con el objeto de proteger los ingresos de los trabajadores que indica traspasados a los Servicios Locales de Educación Pública",21583,2023-07-08
15806-04,2023-04-11,Moción,"Interpreta el artículo cuadragésimo segundo transitorio de la ley N° 21.040, que crea el Sistema de Educación Pública, con el objeto de proteger los ingresos de los trabajadores que indica traspasados a los Servicios Locales de Educación Pública",21583,2023-07-08
13535-07,2020-05-25,Mensaje,"Suprime o modifica la intervención de notarios en trámites, actuaciones y gestiones determinadas",21582,2023-07-07
