numero_proyecto,fecha_ingreso,iniciativa,proyecto_suma,numero_ley,fecha_publicacion
12222-04,2018-10-18,Moción,Establece el 22 de mayo de cada año como el Día Nacional de la Memoria y Educación sobre Desastres Socio-Naturales,21454,2022-06-14
13191-12,2020-01-13,Mensaje,Proyecto de ley que fija Ley Marco de Cambio Climático.,21455,2022-06-13
14969-06,2022-05-10,Mensaje,"Modifica diversos cuerpos legales, en materia de Transformación Digital del Estado.",21464,2022-06-09
8780-12,2013-01-10,Moción,"Modifica el artículo 30 bis de la ley N° 19.300, sobre Bases Generales del Medio Ambiente, en lo relativo a declaración de impacto ambiental",21449,2022-06-02
10788-06,2016-07-05,Moción,"Deroga los artículos 13 y 14 de la ley N°16.441, que crea el departamento de Isla de Pascua, en materia de atenuantes a la penalidad asignada a ciertos delitos y al cumplimiento de las mismas.",21451,2022-05-28
10787-06,2016-07-05,Moción,"Deroga los artículos 13 y 14 de la ley N°16.441, que crea el departamento de Isla de Pascua, relativos a la penalidad especial de los delitos contemplados en los Títulos VII y IX del Libro II del Código Penal en esos territorios y al cumplimiento de ella.",21451,2022-05-28
11407-07,2017-08-23,Moción,"Modifica la ley N° 16.441, que crea el departamento de Isla de Pascua, en lo relativo al tratamiento penal de los delitos que indica.",21451,2022-05-28
14610-06,2021-09-27,Mensaje,"Modifica la ley N° 16.441, que crea el Departamento de Isla de Pascua, en el sentido que indica.",21451,2022-05-28
12288-14,2018-12-05,Mensaje,"Sobre integración social en la planificación urbana, gestión de suelo y plan de emergencia habitacional",21450,2022-05-27
14936-13,2022-05-02,Mensaje,"Reajusta el monto del Ingreso Mínimo Mensual, así como la Asignación Familiar y Maternal, y el Subsidio Familiar, otorga un subsidio temporal a las Micro, Pequeñas y Medianas Empresas en la forma que indica, y establece un aporte compensatorio del aumento del valor de la Canasta Básica de Alimentos",21456,2022-05-26
13756-02,2020-09-01,Moción,"Modifica el decreto ley N° 2.222, de 1978, que sustituye ley de navegación, en materia de responsabilidades ante la ocurrencia de accidentes marítimos, y otras condiciones de navegación",21446,2022-05-26
11877-29,2018-07-04,Moción,Asigna al gimnasio municipal de la ciudad de Talca el nombre de Gimnasio Regional Manuel Herrera Blanco de Talca,21447,2022-05-23
14945-05,2022-05-03,Mensaje,"Modifica la ley N° 19.030, que crea el Fondo de Estabilización de Precios del Petróleo, con el objeto de incrementar sus recursos.",21452,2022-05-19
11311-21,2017-07-05,Moción,"Modifica la ley N° 18.892, General de Pesca y Acuicultura, con el objeto de considerar a las marejadas como fuerza mayor, para evitar la caducidad de la inscripción de los pescadores artesanales en el Registro respectivo",21437,2022-05-10
14048-13,2021-01-21,Moción,"Extiende la duración del permiso laboral para trabajadoras y trabajadores, en caso de fallecimiento de padre, madre y de un hijo en período de gestación, e incorpora igual permiso en caso de fallecimiento de hermano",21441,2022-05-09
9724-24,2014-11-13,Moción,Establece el Día de la Inclusión Social y la No Discriminación,21438,2022-05-07
14787-07,2022-01-05,Moción,"Modifica la Carta Fundamental para incorporar las normas de la ley N° 21.385, que modifica la legislación electoral, para privilegiar la cercanía al domicilio del elector en la asignación del local de votación, para el plebiscito constitucional",21448,2022-04-29
14032-06,2021-01-21,Mensaje,"Modifica diversos cuerpos normativos con el objetivo de perfeccionar la regulación relativa a la contratación, prestación y pago del servicio de extracción de residuos sólidos domiciliarios",21445,2022-04-28
10192-24,2015-07-14,Moción,Establece el 25 de agosto de cada año como el día nacional del peluquero,21439,2022-04-25
14851-05,2022-03-21,Mensaje,Extiende la cobertura del mecanismo de estabilización de precios de los combustibles creado por la ley N°20.765,21443,2022-04-22
11540-14,2017-12-14,Mensaje,Sobre nueva ley de copropiedad inmobiliaria.,21442,2022-04-13
14486-05,2021-07-26,Mensaje,"Modifica el decreto ley N°3.063, de 1979, sobre rentas municipales, y crea un régimen de donaciones con beneficios tributarios en apoyo a las entidades sin fines de lucro",21440,2022-04-12
12470-29,2019-03-13,Moción,"Exige la celebración de un contrato, en los términos que indica, entre las sociedades anónimas deportivas profesionales y las deportistas que sean parte del Campeonato Nacional Femenino de Fútbol",21436,2022-04-09
11958-07,2018-08-01,Moción,Relativo a la utilización de menores en crímenes o delitos.,21444,2022-04-09
11966-07,2018-08-01,Moción,"Sanciona penalmente a los mayores de edad que inciten a delinquir a niños, niñas y adolescentes o participen con éstos en la comisión de delitos.",21444,2022-04-09
14222-24,2021-04-30,Moción,"Autoriza a erigir monumentos o memoriales, y crear museos, en memoria de Los Héroes del Riñihue",21434,2022-04-07
7543-12,2011-03-17,Moción,Reforma el Código de Aguas.,21435,2022-04-06
14487-22,2021-07-23,Moción,"Modifica la ley N°20.712, sobre administración de fondos de terceros y carteras individuales, para disponer que los dineros no cobrados oportunamente por los partícipes de fondos mutuos o de inversión, o por sus causahabientes, sean destinados a la Junta Nacional de Cuerpos de Bomberos de Chile",21433,2022-03-18
10315-18,2015-09-24,Mensaje,Sobre garantías y protección integral de los derechos de la niñez y adolescencia,21430,2022-03-15
13496-13,2020-05-13,Moción,Modifica el Código del Trabajo regulando el contrato de trabajadores de empresas de plataformas digitales de servicios,21431,2022-03-11
14589-07,2021-09-21,Moción,"Modifica el artículo 134 de la Constitución Política, con el objeto de regular la forma de provisión de vacantes de convencionales constituyentes independientes pertenecientes a listas conformadas sólo por independientes y establecer la renuncia al cargo de convencional, en casos graves.",21432,2022-03-11
14592-07,2021-09-21,Moción,"Modifica el artículo 134 de la Constitución Política, para establecer la renuncia y mecanismo de reemplazo para las y los convencionales constituyentes.",21432,2022-03-11
14751-06,2021-12-14,Moción,Declara el 29 de julio de cada año como el Día Nacional del Recolector y la Recolectora de Residuos Domiciliarios,21429,2022-03-10
14768-15,2021-12-22,Moción,"Prorroga las licencias de conducir que se indican, hasta el año 2023.",21428,2022-03-04
12250-25,2018-11-20,Mensaje,Moderniza la gestión institucional y fortalece la probidad y la transparencia en las Fuerzas de Orden y Seguridad Pública.,21427,2022-02-16
7709-13,2011-06-08,Moción,Prohíbe discriminación laboral frente a análisis genéticos.,21422,2022-02-16
10629-12,2016-04-25,Moción,"Modifica la ley N°19.300 de Bases Generales del Medio Ambiente, para someter el transporte, recepción, acopio y embarque de minerales al sistema de evaluación de impacto ambiental, y establece normas para el desarrollo de dichas actividades",21425,2022-02-15
12867-15,2019-08-07,Moción,"Modifica la ley N°18.290, de Tránsito, para aplicar las normas relativas al personal y vehículos de los cuerpos de bomberos y otros de emergencia, al personal y vehículos del Servicio de Seguridad, Salvamento y Extinción de Incendios de la Dirección General de Aeronáutica Civil",21416,2022-02-14
5069-03,2007-06-05,Mensaje,Comercio ilegal.,21426,2022-02-12
14764-03,2021-12-21,Moción,"Faculta al Presidente de la República para crear un mecanismo de ayuda a las familias deudoras de cuentas de servicios básicos, producto de la pandemia.",21423,2022-02-11
14772-03,2022-01-04,Mensaje,"Regula el prorrateo y pago de deudas por servicios sanitarios y eléctricos generadas durante la pandemia por COVID-19, y establece subsidios a los clientes vulnerables para el pago de éstas.",21423,2022-02-11
14489-06,2021-07-27,Moción,"Modifica la ley Nº 18.056, que establece normas generales sobre otorgamiento de pensiones de gracia por el Presidente de la República, para incorporar específicamente a los hijos de personas fallecidas por covid 19.",21424,2022-02-11
13046-07,2019-11-11,Mensaje,Excluye de los beneficios regulados en la ley N° 19.856 a quienes hayan cometido crímenes de carácter sexual contra personas menores de edad,21421,2022-02-09
14747-06,2021-12-14,Moción,"Modifica la ley N°21.239, para prorrogar nuevamente el mandato de los directores u órganos de administración y dirección de las asociaciones y organizaciones que indica, debido a la pandemia producida por el Covid-19",21417,2022-02-05
12208-07,2018-11-05,Mensaje,"Especifica y refuerza las penas principales y accesorias, y modifica las penas de inhabilitación contempladas en los incisos segundo y final del artículo 372 del Código Penal",21418,2022-02-05
14715-21,2021-11-19,Moción,"Establece una excepción a la Ley General de Pesca y Acuicultura en materia de remanente no consumido de cuotas anuales de captura durante el año 2021, para los recursos y regiones que indica",21414,2022-02-05
14676-14,2021-11-03,Moción,"Modifica el plazo de la ley N° 20.898, que Establece un Procedimiento Simplificado para la Regularización de Viviendas de Autoconstrucción.",21415,2022-02-04
14763-05,2021-12-21,Mensaje,Reduce o elimina exenciones tributarias que indica,21420,2022-02-04
13860-14,2020-10-28,Moción,"Extiende el plazo previsto en el artículo 4° contemplado en la ley N° 20.898, sobre regularización de edificaciones.",21415,2022-02-04
12821-12,2019-07-24,Moción,"Modifica la ley N° 19.419, que Regula actividades que indica relacionadas con el tabaco, en materia de fabricación, uso y disposición de filtros y colillas de cigarrillos, para facilitar su reciclaje o reutilización",21413,2022-02-01
12407-12,2019-01-23,Moción,"Establece medidas para evitar la contaminación con colillas de cigarrillos, y facilita su reciclaje o reutilización",21413,2022-02-01
14588-13,2021-09-20,Mensaje,Crea la Pensión Garantizada Universal,21419,2022-01-29
12050-21,2018-08-07,Moción,"Modifica la ley N°18.892, General de Pesca y Acuicultura, con el objeto de exigir la remoción de sedimentos a los titulares de concesiones de acuicultura para el cultivo de especies exóticas",21410,2022-01-27
5254-02,2007-08-09,Moción,"Modifica la ley N°17.798, sobre control de armas, con el objeto de fortalecer su institucionalidad",21412,2022-01-25
9993-25,2015-04-13,Moción,"Modifica la ley N°17.798, sobre Control de Armas, sancionando el porte e ingreso de armas en lugares de acceso público",21412,2022-01-25
9079-25,2013-09-02,Moción,"Modifica ley N° 17.898, sobre control de armas, incorporando armas de fogueo y similares, al Registro Nacional de Venta de Armas.",21412,2022-01-25
9577-25,2014-09-10,Moción,"Modifica ley sobre Control de Armas, para tipificar el uso, colocación o detonación, de artefactos explosivos",21412,2022-01-25
5401-02,2007-10-11,Moción,Establece prohibición absoluta para el uso e inscripción de armas de fuego.,21412,2022-01-25
9053-25,2013-08-06,Moción,"Modifica la ley N°17.798, sobre control de armas, regulando la tenencia de armas a postón a menores de 18 años.",21412,2022-01-25
13885-06,2020-11-11,Moción,"Modifica la ley N°18.695, orgánica constitucional de Municipalidades, en materia de cierre o instalación de medidas de control de acceso en calles, pasajes o conjuntos habitacionales, por motivos de seguridad",21411,2022-01-25
9035-02,2013-07-30,Moción,"Modifica la ley N° 17.798, sobre control de armas, con el objeto de tipificar y aumentar penas por uso, colocación o detonación de artefactos explosivos.",21412,2022-01-25
5456-02,2007-11-06,Moción,"Modifica la ley N° 17.798, incorporando exigencias para el almacenamiento de armas de fuego y establece límites para la adquisición de municiones.",21412,2022-01-25
9073-25,2013-08-27,Moción,"Modifica ley N° 17.798, sobre control de armas, limitando  acceso de armas de fogueo y, aumenta penas por el porte y/o tenencia de armas artesanales o hechizas.",21412,2022-01-25
13778-13,2020-09-09,Moción,"Establece fuero laboral y un descanso compensatorio para las trabajadoras y los trabajadores de la salud, en contexto de estado de excepción constitucional por pandemia de Covid-19, en las condiciones y con los efectos y excepciones que señala",21409,2022-01-25
14295-04,2021-06-05,Moción,"Interpreta el articulo 13, inciso cuarto, del Decreto con Fuerza de Ley N° 2, del Ministerio de Educación, sobre Subvención del Estado a Establecimientos del Educacionales.",21407,2022-01-24
14178-21,2021-04-20,Mensaje,"Modifica la Ley General de Pesca y Acuicultura, en materia de espacios de habitabilidad de embarcaciones pesqueras artesanales y embarcaciones menores prestadoras de servicios a la acuicultura",21408,2022-01-15
10920-24,2016-10-06,Moción,Declara el primer lunes de octubre de cada año como el Día Nacional del Feriante,21406,2022-01-05
13442-31,2020-04-15,Moción,Reconoce la sordoceguera como discapacidad única y promueve la plena inclusión social de las personas sordociegas,21403,2022-01-03
13795-04,2020-09-16,Moción,Modifica las normas de admisión escolar para facilitar el acceso de estudiantes a los establecimientos educacionales con modalidad de internado y de aquellos con necesidades educativas especiales permanentes.,21397,2022-01-03
13731-11,2020-08-20,Moción,Interpreta el artículo 36 de la ley N° 20.799,21404,2021-12-30
14520-09,2021-08-11,Moción,"Modifica la Ley N° 20.998, que regula los Servicios Sanitarios Rurales, en diversas disposiciones.",21401,2021-12-28
11780-04,2018-05-30,Moción,"Modifica la ley N° 19.070, que Aprueba Estatuto de los Profesionales de la Educación, en diversas materias de orden laboral",21399,2021-12-27
12409-03,2019-01-24,Mensaje,Establece medidas para incentivar la protección de los derechos de los consumidores,21398,2021-12-24
13716-07,2020-08-13,Moción,Proyecto de ley que establece como agravante el incendio de la cabina de un camión.,21402,2021-12-24
13719-07,2020-08-18,Mensaje,Proyecto de ley  que  introduce diversas modificaciones a las normas del Código Penal referidas al delito de incendio,21402,2021-12-24
14733-05,2021-12-06,Mensaje,"Otorga reajuste de remuneraciones a los trabajadores del sector público, concede aguinaldos que señala, concede otros beneficios que indica, y modifica diversos cuerpos legales",21405,2021-12-22
13823-06,2020-10-06,Mensaje,Para implementar adecuadamente el proceso de descentralización del país.,21396,2021-12-18
14609-05,2021-09-23,Mensaje,Ley de Presupuestos para el Sector Público correspondiente al año 2022,21395,2021-12-15
11422-07,2017-09-05,Mensaje,"Modifica diversos cuerpos legales para regular, en igualdad de condiciones, el matrimonio de parejas del mismo sexo.",21400,2021-12-10
12825-15,2019-07-24,Moción,"Modifica la ley N°19.496, que Establece normas sobre protección de los derechos de los consumidores, para autorizar el endoso del billete de pasaje en los contratos de transporte de pasajeros que indica",21392,2021-11-30
12285-15,2018-11-30,Moción,Modifica el Código Aeronáutico con el objeto de permitir el endoso del billete de pasaje en el contrato de transporte aéreo,21392,2021-11-30
9980-03,2015-04-09,Moción,"Modifica la ley N° 19.496, que Establece Normas sobre Protección de los Derechos de los Consumidores, para permitir la transferencia de un pasaje aéreo, por parte de su titular a un tercero, en las condiciones que indica.",21392,2021-11-30
12773-19,2019-07-10,Moción,"Modifica el Código Aeronáutico, para definir el contrato de transporte aéreo como documento electrónico, y permitir el endoso del billete de pasaje en las condiciones que indica",21392,2021-11-30
9509-15,2014-08-14,Moción,"Sobre endoso o transferencia del pasaje de transporte aéreo, del titular a un tercero",21392,2021-11-30
13651-07,2020-07-15,Moción,Proyecto de ley que modifica distintas normas y plazos judiciales ocasión del covid-19,21394,2021-11-30
13752-07,2020-09-01,Mensaje,Proyecto de ley que reforma el sistema de justicia para enfrentar la situación luego del estado de excepción constitucional de catástrofe por calamidad pública,21394,2021-11-30
12922-06,2019-09-06,Moción,Proyecto de ley que establece el 5 de noviembre de cada año como el Día Nacional del Cuidador Informal.,21390,2021-11-27
14002-13,2021-01-12,Moción,"Establece trabajo a distancia para cuidado de niños, en caso de pandemia.",21391,2021-11-24
11235-24,2017-05-17,Moción,Establece el 7 de febrero de cada año como el Día Nacional por la No Violencia en el Pololeo,21393,2021-11-23
14077-18,2021-03-09,Mensaje,"Modifica la ley Nº14.908, Sobre abandono de familia y pago de pensiones alimenticias, y crea el Registro Nacional de Deudores de Pensiones de Alimentos",21389,2021-11-18
13476-05,2020-03-24,Moción,"Modifica el decreto con fuerza de ley N° 120, de 1960, de Hacienda, Ley Orgánica de la Polla Chilena de Beneficencia, para incorporar entre los beneficiarios de los fondos que indica, al Cuerpo de Voluntarios de Botes Salvavidas",21387,2021-11-06
14336-11,2021-06-23,Mensaje,Modifica el Código Sanitario en lo relativo al cobro de multas,21388,2021-10-28
14558-04,2021-08-30,Mensaje,"Establece reajuste de remuneraciones y otros beneficios legales para el personal que indica, que se desempeña en los establecimientos de educación parvularia financiados por la Junta Nacional de Jardines Infantiles, vía transferencia de fondos traspasados a los servicios locales de educación pública",21386,2021-10-25
13827-19,2020-10-07,Moción,"Modifica el artículo 19, número 1°, de la Carta Fundamental, para proteger la integridad y la indemnidad mental con relación al avance de las neurotecnologías.",21383,2021-10-25
13546-29,2020-05-29,Moción,"Modifica la ley N° 19.712, del Deporte, para dar prioridad, en la asignación de los recursos del Fondo Nacional para el Fomento del Deporte, a los sectores más vulnerables de la población",21381,2021-10-23
12426-06,2019-01-24,Moción,"Modifica la ley N°18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios, para privilegiar la cercanía al domicilio del elector, en la asignación del local de votación",21385,2021-10-21
12747-11,2019-07-03,Moción,Proyecto de ley que reconoce a los cuidadores como sujetos de derecho a atención preferente en el ámbito de la salud.,21380,2021-10-21
12507-11,2019-04-02,Mensaje,"Reconocimiento y protección de los derechos de las personas con enfermedades terminales, y el buen morir",21375,2021-10-21
14198-05,2021-04-22,Mensaje,Autoriza la capitalización del Banco del Estado de Chile con el objeto de cumplir con las exigencias de Basilea III,21384,2021-10-21
12302-13,2018-12-11,Moción,Suprime el rango etario para ejercer el permiso laboral establecido en el artículo 66 bis del Código del Trabajo.,21382,2021-10-21
9846-15,2015-01-08,Moción,"Modifica la ley N°18.290, de Tránsito, sancionando el uso de dispositivos de telecomunicaciones, en cualquiera de sus funcionalidades, durante la conducción de un vehículo",21377,2021-10-12
12066-15,2018-09-04,Moción,"Modifica la ley N° 18.290, de Tránsito, para aumentar la sanción a quienes hacen uso de un teléfono celular mientras conducen un vehículo",21377,2021-10-12
8341-15,2012-06-06,Moción,"Modifica la ley N° 18.290, Ley de Tránsito, estableciendo como infracción gravísima el uso del celular al conducir.",21377,2021-10-12
7341-15,2010-12-06,Moción,Aumenta sanciones por el uso de celulares o de pantallas de televisión durante la conducción de un vehículo motorizado.,21377,2021-10-12
13812-11,2020-09-29,Moción,"Modifica la ley N° 20.584, para establecer un estándar especial en relación al acompañamiento de infantes y disponer un mandato general de trato digno y respetuoso a quienes acompañen a pacientes hospitalizados o sometidos a prestaciones ambulatorias.",21372,2021-10-07
9715-07,2014-11-12,Moción,"Modifica las leyes Nos. 19.968 y 20.066 para incorporar una medida cautelar especial en favor de las víctimas de violencia intrafamiliar y facultar al tribunal, en casos calificados, a controlar su cumplimiento por medio del monitoreo telemático.",21378,2021-10-04
13907-13,2020-11-18,Mensaje,Adecua el Código del Trabajo al Convenio sobre el Trabajo Marítimo de la Organización Internacional del Trabajo,21376,2021-10-01
14590-07,2021-09-21,Mensaje,Modifica y complementa la ley N° 21.226 para reactivar y dar continuidad al sistema de justicia,21379,2021-09-30
14226-04,2021-05-03,Moción,"Faculta a requerir la suspensión de la evaluación docente, y suspende la aplicación de las pruebas del Sistema de Medición de la Calidad de la Educación (SIMCE) durante al año 2021, debido a la pandemia mundial de Covid-19",21373,2021-09-29
14159-11,2021-04-13,Moción,Establece un estándar especial en relación con el manejo clínico y acompañamiento a madres y padres que hayan sufrido una muerte gestacional o perinatal.,21371,2021-09-29
14300-04,2021-06-03,Moción,"Modifica la ley N°21.272, que Suspende la realización de la evaluación docente por el año 2020, debido a la pandemia mundial de Covid-19, para extender su vigencia por el año 2021",21373,2021-09-29
14298-04,2021-06-03,Moción,"Suspende la aplicación de las pruebas del Sistema de Medición de la Calidad de la Educación (Simce), correspondientes al año 2021, debido a la pandemia de Covid-19",21373,2021-09-29
13801-05,2020-09-22,Moción,"Modifica la ley N° 20.712, sobre administración de fondos de terceros y carteras individuales, en relación con el destino de los dineros de fondos mutuos o fondos de inversión no cobrados por los respectivos partícipes",21374,2021-09-28
11750-04,2018-05-16,Moción,Sobre acoso sexual en el ámbito académico.,21369,2021-09-15
13930-03,2020-12-02,Mensaje,Modifica la ley N° 20.659 para perfeccionar y modernizar el registro de empresas y sociedades.,21366,2021-08-25
12702-34,2019-06-06,Moción,"Modifica la ley N°18.892, General de Pesca y Acuicultura, para establecer una cuota de género en la integración de los órganos y el registro pesquero artesanal que ella regula, y adecua definiciones a un lenguaje inclusivo",21370,2021-08-25
12906-11,2019-08-22,Moción,"Modifica la ley N°20.606, Sobre composición nutricional de los alimentos y su publicidad, y la ley N°19.886, de Bases sobre contratos administrativos de suministro y prestación de servicios, para incorporar a la enfermedad celiaca y al gluten como su principal causante, en las menciones y en la regulación contenidas en dichas normas",21362,2021-08-18
14170-07,2021-04-14,Moción,Que suprime la causal de conducta homosexual en el divorcio por culpa.,21367,2021-08-16
12516-12,2019-04-03,Moción,Proyecto de ley que incorpora la entrega de bolsas biodegradables en el comercio.,21368,2021-08-13
12275-12,2018-11-29,Moción,Prohíbe el uso de bolsas plásticas para el envío de productos.,21368,2021-08-13
12561-12,2019-04-17,Moción,Proyecto de ley que prohíbe en las oficinas públicas la utilización de envases que se extingan al primer uso.,21368,2021-08-13
11809-12,2018-06-13,Moción,Para reducir la fabricación de botellas plásticas de un solo uso.,21368,2021-08-13
12633-12,2019-05-15,Moción,Proyecto de ley  que limita la generación de productos desechables y regula los plásticos.,21368,2021-08-13
12641-12,2019-05-22,Moción,Proyecto de ley que modifica la ley N° 21.100 a fin de prohibir la entrega y venta de los artefactos plásticos que indica.,21368,2021-08-13
11429-12,2017-09-11,Moción,Prohíbe el uso y entrega de bolsas plásticas sean o no biodegradables a los consumidores finales.,21368,2021-08-13
7550-06,2011-03-22,Mensaje,Establece el Sistema Nacional de Emergencia y Protección Civil y crea la Agencia Nacional de Protección Civil,21364,2021-08-07
13654-03,2020-07-15,Moción,"Proyecto de ley que fija las tasas de intercambio máximas a ser cobradas por los emisores en el mercado de medios de pago a través de tarjetas de crédito, débito y prepago.",21365,2021-08-06
4181-11,2006-05-03,Moción,Regula la publicidad de las bebidas alcohólicas.,21363,2021-08-06
4379-11,2006-08-01,Moción,"Modifica la ley N° 19.925, facilitando el control al expendio de bebidas alcohólicas a menores de edad.",21363,2021-08-06
2973-11,2002-06-13,Moción,"Establece modificaciones a la legislación sobre expendio, comercialización y producción de bebidas alcohólicas.",21363,2021-08-06
4192-11,2006-05-09,Moción,"Modifica leyes N°s 19.925 y 18.455, en lo relativo a la publicidad y etiquetación de bebidas alcohólicas.",21363,2021-08-06
12826-13,2019-08-05,Mensaje,Adecua el Código del Trabajo en materia de documentos electrónicos laborales,21361,2021-07-27
14225-13,2021-05-03,Mensaje,"Reajusta el monto del ingreso mínimo mensual, así como la asignación familiar y maternal, y el subsidio familiar, y otorga ayudas extraordinarias para las familias en contexto del Covid-19",21360,2021-07-12
12598-21,2019-04-25,Moción,"Modifica la ley N°20.256, que Establece normas sobre pesca recreativa, para aumentar las sanciones en caso de infracción",21358,2021-07-12
14214-24,2021-04-28,Moción,Establece el 29 de junio de cada año como el Día del Folclor Urbano Roberto Parra,21359,2021-07-12
12135-03,2018-10-02,Mensaje,"Modifica la ley N° 19.039, de Propiedad Industrial, la ley N° 20.254, que Establece el Instituto Nacional de Propiedad Industrial y el Código Procesal Penal",21355,2021-07-05
12091-03,2018-09-11,Moción,Consagra la paridad de género en los directorios de las empresas y sociedades anónimas.,21356,2021-07-03
9858-03,2015-01-14,Moción,Modifica diversos cuerpos legales para establecer la representación de género en los directorios de las empresas públicas.,21356,2021-07-03
12233-01,2018-11-13,Mensaje,"Establece normas sobre composición, etiquetado y comercialización de los fertilizantes y bioestimulantes",21349,2021-06-26
13794-06,2020-09-16,Moción,"Proyecto de ley que modifica la ley N 19.668, a fin de otorgar un nuevo significado al feriado del 12 de octubre y establecer el día 24 de junio como el Día de los Pueblos Originarios.",21357,2021-06-19
13890-06,2020-11-16,Moción,"Declara feriado el día 24 de junio de cada año en conmemoración del día nacional de los pueblos indígenas de Chile, deroga la ley Nº 18.432, y modifica la ley Nº 19.668.",21357,2021-06-19
13902-06,2020-11-17,Mensaje,"Declara feriado nacional el día 24 de junio de cada año, Día Nacional de los Pueblos Indígenas.",21357,2021-06-19
14280-05,2021-05-31,Mensaje,"Proyecto de ley, iniciado en mensaje de S.E. el Presidente de la República, que otorga bonos de cargo fiscal para apoyar a las micro y pequeñas empresas, por la crisis generada por la enfermedad COVID-19.",21354,2021-06-17
13404-33,2020-04-06,Moción,"Faculta al Presidente de la República a reservar el uso prioritario del agua al consumo humano, el saneamiento y el uso doméstico de subsistencia, durante la vigencia de un estado de excepción constitucional de catástrofe por calamidad pública",21348,2021-06-17
14278-05,2021-05-27,Mensaje,"Establece nuevas medidas tributarias para apoyar a las micro, pequeñas y medianas empresas, por la crisis generada por la enfermedad Covid-19",21353,2021-06-17
13576-03,2020-06-12,Moción,Modifica la Ley General de Cooperativas para extender transitoriamente el plazo dentro del cual deben celebrarse las Juntas Generales de Socios,21344,2021-06-16
13503-11,2020-04-01,Moción,"Modifica el decreto con fuerza de ley N°1, de 2005, del Ministerio de Salud, para suspender durante la vigencia del estado de excepción constitucional de catástrofe motivado por la pandemia de Covid-19, la facultad de las isapres de poner término, modificar o aumentar unilateralmente el precio de los planes de salud de sus afiliados",21350,2021-06-14
13502-11,2020-04-01,Moción,"Suspende, durante la vigencia del estado de excepción constitucional de catástrofe motivado por la pandemia de Covid-19, la facultad de las isapres de modificar el precio base de los planes de salud en términos más onerosos para sus afiliados",21350,2021-06-14
13504-11,2020-04-02,Moción,"Modifica el decreto con fuerza de ley N°1, de 2005, del Ministerio de Salud, para prohibir a las isapres modificar los contratos de salud o aumentar su precio, en perjuicio de sus afiliados, durante una epidemia o pandemia, o alerta sanitaria declarada por la autoridad",21350,2021-06-14
14260-13,2021-05-20,Mensaje,"Modifica la ley N° 21.247, otorgando prestaciones excepcionales a los trabajadores dependientes, independientes y del sector público que han hecho uso de una o más licencias médicas preventivas parentales en las condiciones que indica.",21351,2021-06-14
11705-25,2018-05-03,Mensaje,Implementa un Sistema Táctico de Operación Policial,21332,2021-06-11
13956-06,2020-12-15,Moción,Autoriza los procesos electorales de los Cuerpos de Bomberos,21345,2021-06-10
14096-15,2021-03-16,Mensaje,"Modifica la disposición transitoria de la ley N°21.213, que Modifica los cuerpos legales que indica para delimitar la infracción que consiste en circular un vehículo sin dispositivo electrónico de pago de peajes o tarifas, para extender su vigencia",21343,2021-06-08
14277-31,2021-05-27,Mensaje,"Modifica la ley N°21.289, de Presupuestos del Sector Público correspondiente al año 2021, y la ley N°21.230, que concede un Ingreso Familiar de Emergencia",21352,2021-06-07
11294-11,2017-05-31,Moción,"Establece la calidad recíproca de carga familiar entre ambos cónyuges, para efectos de las prestaciones de salud que otorga la ley",21337,2021-06-04
13990-04,2021-01-05,Moción,"Modifica la ley N°21.094, sobre Universidades Estatales, a fin de prorrogar el plazo establecido para proponer al Presidente de la República la modificación de sus respectivos estatutos, a raíz de la pandemia por Covid-19",21346,2021-06-04
14259-13,2021-05-19,Moción,"Crea un permiso laboral para que todo trabajador pueda ser vacunado, en los casos que indica.",21347,2021-06-03
13600-13,2020-06-23,Moción,"Proyecto de ley que complementa las normas del Título VII de la Ley 16.744, y establece la necesidad de Protocolos de Seguridad Sanitaria Laboral para el retorno gradual y seguro al trabajo, en el marco del estado de excepción constitucional provocado por la crisis sanitaria derivada del brote del virus COVID-19 en el país",21342,2021-06-01
13743-13,2020-08-26,Moción,Proyecto de ley que establece presunción de contagio por Covid-19 en ambientes laborales y dispone medidas de protección para pacientes con enfermedades crónicas no transmisibles.,21342,2021-06-01
14172-03,2021-04-14,Moción,"Modifica la ley N° 21.249 para prorrogar el plazo y fijar las condiciones que indica para el cobro de deudas por suministro de servicios sanitarios, electricidad y gas.",21340,2021-05-22
14163-03,2021-04-13,Moción,"Prorroga los efectos de la ley N° 21.249, que dispone, de manera excepcional, las medidas que indica en favor de los usuarios finales de servicios sanitarios, electricidad y gas de red.",21340,2021-05-22
14030-07,2021-01-20,Mensaje,Establece derecho a indemnización para funcionarios del Servicio Nacional de Menores.,21338,2021-05-19
12215-05,2018-10-29,Moción,"Modifica el decreto con fuerza de ley N° 30, de 2004, del Ministerio de Hacienda, sobre Ordenanza de Aduanas, en materia de sanciones al delito de contrabando",21336,2021-05-18
3810-18,2005-03-16,Moción,"Modifica la ley N° 4.808, sobre Registro Civil, estableciendo que el apellido de la madre anteceda al del padre.",21334,2021-05-14
4149-18,2006-04-12,Moción,Modifica las normas sobre cambio de apellidos.,21334,2021-05-14
14174-06,2021-04-14,Moción,Establece como feriados obligatorios e irrenunciables los días en que se realicen elecciones y plebiscitos.,21341,2021-05-12
